,index,carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
1241,1241,15511,merc, X-CLASS,2020,Automatic,303,Diesel,265.0,35.8,2.3,31991
1242,1242,15512,ford, Edge,2017,Manual,23577,Diesel,150.0,48.7,2.0,19500
1243,1243,15513,vw, Scirocco,2016,Manual,27916,Diesel,20.0,55.4,2.0,13850
1244,1244,15514,vw, Scirocco,2014,Semi-Auto,56679,Diesel,145.0,50.4,2.0,11490
1245,1245,15516,vw, Amarok,2016,Automatic,29218,Diesel,260.0,35.3,2.0,16998
1246,1246,15519,ford, Grand Tourneo Connect,2017,Manual,27354,Diesel,125.0,61.4,1.5,11499
1247,1247,15520,ford, Galaxy,2016,Manual,27716,Diesel,125.0,56.5,2.0,15498
1248,1248,15521,vw, Amarok,2018,Automatic,6200,Diesel,260.0,36.2,3.0,27295
1249,1249,15527,hyundi, IX35,2014,Manual,43440,Diesel,145.0,53.3,1.7,8595
1250,1250,15529,bmw, 7 Series,2014,Automatic,39554,Diesel,160.0,50.4,3.0,14500
1251,1251,15536,merc, CLA Class,2017,Automatic,11574,Petrol,145.0,40.9,2.0,30748
1252,1252,15539,vw, Beetle,2013,Manual,16969,Petrol,235.0,37.2,2.0,10999
1253,1253,15543,ford, Edge,2017,Manual,20306,Diesel,200.0,47.9,2.0,20700
1254,1254,15547,audi, A8,2018,Automatic,9756,Petrol,145.0,37.7,3.0,42000
1255,1255,15548,merc, CLA Class,2020,Automatic,4308,Petrol,145.0,44.1,1.3,28900
1256,1256,15550,ford, KA,2008,Manual,76000,Petrol,205.0,43.5,1.3,795
1257,1257,15566,vw, Shuttle,2015,Automatic,26146,Diesel,325.0,35.3,2.0,17895
1258,1258,15568,merc, CLS Class,2014,Automatic,32757,Diesel,145.0,54.3,2.1,14000
1259,1259,15575,toyota, IQ,2012,Manual,72498,Petrol,0.0,64.2,1.0,2495
1260,1260,15579,merc, V Class,2019,Automatic,2000,Diesel,145.0,36.7,2.0,46500
1261,1261,15581,ford, KA,2017,Manual,27458,Petrol,145.0,57.7,1.2,7800
1262,1262,15583,vw, California,2018,Automatic,7865,Diesel,260.0,44.1,2.0,54999
1263,1263,15588,bmw, M4,2016,Semi-Auto,27817,Petrol,305.0,34.0,3.0,31491
1264,1264,15595,bmw, Z4,2020,Semi-Auto,103,Petrol,145.0,37.2,2.0,33850
1265,1265,15597,hyundi, Santa Fe,2019,Automatic,12000,Diesel,145.0,39.2,2.2,31995
1266,1266,15599,vw, Scirocco,2014,Manual,51676,Diesel,30.0,62.8,2.0,9980
1267,1267,15602,toyota, Prius,2016,Automatic,29608,Hybrid,0.0,85.6,1.8,18999
1268,1268,15603,merc, CLS Class,2007,Automatic,90000,Diesel,300.0,27.7,3.0,4395
1269,1269,15606,hyundi, I40,2016,Manual,47613,Diesel,20.0,67.3,1.7,8490
1270,1270,15607,hyundi, Santa Fe,2019,Automatic,6363,Diesel,145.0,42.8,2.2,33995
1271,1271,15608,vw, Scirocco,2015,Automatic,116520,Diesel,30.0,57.6,2.0,9795
1272,1272,15609,ford, Grand C-MAX,2016,Semi-Auto,24512,Diesel,30.0,58.9,1.5,10250
1273,1273,15611,vw, Amarok,2015,Manual,56371,Diesel,260.0,35.3,2.0,16495
1274,1274,15614,toyota, Prius,2016,Automatic,19573,Hybrid,0.0,85.6,1.8,18995
1275,1275,15615,skoda, Rapid,2018,Manual,9786,Petrol,150.0,61.4,1.0,10800
1276,1276,15619,merc, V Class,2019,Automatic,5322,Diesel,145.0,45.6,2.0,39580
1277,1277,15620,merc, CLA Class,2016,Automatic,13379,Diesel,20.0,67.3,2.1,18250
1278,1278,15623,bmw, 6 Series,2019,Automatic,9000,Diesel,145.0,42.2,2.0,52500
1279,1279,15624,skoda, Yeti,2012,Manual,80550,Diesel,200.0,46.3,2.0,6500
1280,1280,15625,hyundi, Santa Fe,2015,Manual,50715,Diesel,200.0,46.3,2.2,15000
1281,1281,15626,vw, Scirocco,2016,Manual,39081,Diesel,20.0,55.4,2.0,13340
1282,1282,15627,audi, RS6,2017,Automatic,19980,Petrol,145.0,29.4,4.0,51950
1283,1283,15631,ford, Galaxy,2017,Manual,39616,Diesel,145.0,56.5,2.0,16950
1284,1284,15632,toyota, GT86,2014,Manual,24667,Petrol,265.0,36.2,2.0,13495
1285,1285,15634,vauxhall, Combo Life,2019,Manual,8309,Diesel,145.0,53.3,1.5,14754
1286,1286,15639,vw, CC,2016,Manual,25501,Diesel,30.0,62.8,2.0,12440
1287,1287,15641,hyundi, I40,2012,Automatic,68132,Diesel,200.0,47.1,1.7,7495
1288,1288,15645,ford, Grand C-MAX,2017,Automatic,24449,Diesel,30.0,58.9,1.5,10249
1289,1289,15648,skoda, Rapid,2015,Manual,71558,Diesel,0.0,67.3,1.6,6280
1290,1290,15649,ford, Grand C-MAX,2015,Manual,35000,Diesel,125.0,60.1,1.6,8990
1291,1291,15654,skoda, Rapid,2014,Manual,34200,Petrol,125.0,52.3,1.2,6682
1292,1292,15656,audi, RS5,2017,Automatic,8966,Petrol,145.0,32.5,2.9,43996
1293,1293,15661,audi, Q8,2019,Semi-Auto,7022,Diesel,150.0,33.6,3.0,51900
1294,1294,15664,merc, V Class,2019,Semi-Auto,6295,Diesel,145.0,36.7,2.0,44490
1295,1295,15665,hyundi, Santa Fe,2017,Semi-Auto,17354,Diesel,240.0,42.8,2.2,19495
1296,1296,15668,ford, Galaxy,2017,Manual,12000,Diesel,125.0,56.5,2.0,16489
1297,1297,15670,vw, Arteon,2018,Semi-Auto,9858,Petrol,145.0,47.1,2.0,22800
1298,1298,15671,ford, Grand Tourneo Connect,2017,Manual,45461,Diesel,150.0,64.2,1.5,13995
1299,1299,15675,ford, KA,2006,Manual,94400,Petrol,200.0,43.5,1.3,1095
1300,1300,15677,bmw, Z4,2020,Semi-Auto,10,Petrol,145.0,38.7,2.0,29980
1301,1301,15683,toyota, Hilux,2019,Automatic,10250,Diesel,260.0,2.8,2.4,27850
1302,1302,15687,ford, Edge,2017,Automatic,18810,Diesel,145.0,47.9,2.0,22030
1303,1303,15691,ford, Grand C-MAX,2017,Manual,33007,Diesel,30.0,64.2,1.5,10495
1304,1304,15692,hyundi, Santa Fe,2016,Semi-Auto,28000,Diesel,240.0,42.8,2.2,20495
1305,1305,15694,merc, M Class,2014,Semi-Auto,38833,Diesel,200.0,44.8,2.1,19662
1306,1306,15699,toyota, Verso,2016,Manual,20762,Petrol,205.0,41.5,1.6,11222
1307,1307,15700,skoda, Yeti,2016,Automatic,43074,Petrol,125.0,51.4,1.2,10495
1308,1308,15701,audi, A7,2019,Semi-Auto,4000,Diesel,145.0,35.8,3.0,47995
1309,1309,15702,bmw, Z4,2020,Semi-Auto,5,Petrol,145.0,38.2,2.0,28990
1310,1310,15703,vw, Shuttle,2018,Manual,24339,Diesel,145.0,47.1,2.0,18998
1311,1311,15704,vw, Caravelle,2019,Semi-Auto,12815,Diesel,145.0,33.6,2.0,33995
1312,1312,15707,ford, Galaxy,2017,Semi-Auto,26035,Diesel,150.0,52.3,2.0,19298
1313,1313,15708,vw, Caravelle,2019,Semi-Auto,4500,Diesel,145.0,33.6,2.0,41000
1314,1314,15709,merc, V Class,2018,Manual,26140,Diesel,145.0,46.3,2.1,19998
1315,1315,15710,ford, Grand C-MAX,2016,Automatic,28407,Diesel,30.0,58.9,1.5,9799
1316,1316,15714,merc, V Class,2019,Automatic,500,Diesel,145.0,36.7,2.0,46895
1317,1317,15717,merc, S Class,2015,Semi-Auto,30355,Diesel,165.0,51.4,3.0,24981
1318,1318,15718,vw, Jetta,2014,Automatic,28044,Diesel,145.0,53.3,2.0,9990
1319,1319,15731,ford, Mustang,2018,Manual,20847,Petrol,145.0,20.9,5.0,29998
1320,1320,15732,bmw, X4,2019,Semi-Auto,10,Diesel,145.0,40.9,3.0,40990
1321,1321,15733,audi, A8,2017,Semi-Auto,15072,Diesel,200.0,47.1,3.0,28995
1322,1322,15734,ford, Grand C-MAX,2017,Semi-Auto,22500,Diesel,30.0,58.9,1.5,11495
1323,1323,15738,merc, SLK,2014,Automatic,43955,Petrol,205.0,43.5,1.8,15990
1324,1324,15742,bmw, X4,2019,Semi-Auto,2740,Diesel,145.0,42.8,2.0,36980
1325,1325,15748,skoda, Scala,2020,Manual,651,Petrol,150.0,49.6,1.0,15000
1326,1326,15750,bmw, X6,2016,Semi-Auto,32711,Diesel,200.0,47.1,3.0,26990
1327,1327,15753,toyota, Hilux,2019,Manual,10663,Diesel,260.0,40.4,2.4,23990
1328,1328,15755,ford, Galaxy,2017,Manual,43155,Diesel,125.0,56.5,2.0,18000
1329,1329,15757,merc, CLS Class,2016,Automatic,16591,Diesel,165.0,51.4,3.0,20500
1330,1330,15762,hyundi, Santa Fe,2019,Semi-Auto,3580,Diesel,145.0,39.8,2.2,33970
1331,1331,15763,hyundi, I800,2018,Manual,30305,Diesel,145.0,31.7,0.0,15500
1332,1332,15765,audi, SQ5,2017,Automatic,22216,Petrol,145.0,34.0,3.0,36990
1333,1333,15766,merc, V Class,2019,Automatic,1099,Diesel,145.0,45.6,2.2,44990
1334,1334,15768,bmw, M4,2017,Semi-Auto,27806,Petrol,145.0,34.0,3.0,36820
1335,1335,15776,bmw, X6,2015,Semi-Auto,60930,Diesel,200.0,47.1,3.0,26462
1336,1336,15779,vauxhall, Antara,2014,Manual,39003,Diesel,235.0,44.1,2.2,6490
1337,1337,15785,vw, Tiguan Allspace,2019,Semi-Auto,2001,Diesel,145.0,39.2,2.0,29990
1338,1338,15788,audi, A8,2017,Automatic,4510,Diesel,145.0,50.4,3.0,33330
1339,1339,15790,bmw, 6 Series,2018,Automatic,14827,Petrol,145.0,42.8,2.0,27000
1340,1340,15792,audi, A7,2019,Semi-Auto,10,Diesel,145.0,38.2,3.0,43885
1341,1341,15793,vw, Caravelle,2012,Automatic,102000,Diesel,315.0,34.4,2.0,18995
1342,1342,15795,vw, Scirocco,2012,Manual,75000,Diesel,145.0,53.3,2.0,8475
1343,1343,15798,vauxhall, Zafira Tourer,2015,Manual,59455,Diesel,145.0,53.3,2.0,9350
1344,1344,15803,merc, GLS Class,2016,Automatic,41013,Diesel,300.0,37.2,3.0,37500
1345,1345,15805,skoda, Kamiq,2020,Semi-Auto,2000,Diesel,145.0,52.3,1.6,21495
1346,1346,15807,toyota, Hilux,2017,Manual,8441,Diesel,260.0,40.4,2.4,20995
1347,1347,15808,bmw, 6 Series,2014,Automatic,64674,Diesel,160.0,49.6,3.0,17000
1348,1348,15814,vauxhall, Antara,2014,Manual,6877,Diesel,240.0,44.1,2.2,8995
1349,1349,15815,vw, Scirocco,2017,Manual,3688,Diesel,145.0,53.3,2.0,17998
1350,1350,15820,ford, Mustang,2019,Automatic,26,Petrol,145.0,30.7,2.3,35950
1351,1351,15824,bmw, 8 Series,2020,Semi-Auto,5490,Petrol,145.0,31.7,3.0,59990
1352,1352,15826,vw, Caddy Maxi Life,2019,Automatic,12240,Diesel,145.0,44.1,2.0,18250
1353,1353,15827,merc, GL Class,2015,Automatic,14295,Diesel,125.0,55.4,2.1,19499
1354,1354,15830,hyundi, IX20,2016,Manual,12936,Petrol,125.0,50.4,1.4,9495
1355,1355,15831,audi, A8,2014,Semi-Auto,24786,Diesel,205.0,47.9,3.0,18998
1356,1356,15834,vw, Amarok,2019,Automatic,3655,Diesel,260.0,33.6,3.0,35995
1357,1357,15835,vw, CC,2016,Semi-Auto,39416,Diesel,125.0,56.5,2.0,10999
1358,1358,15836,vauxhall, Zafira Tourer,2016,Manual,19929,Petrol,200.0,42.2,1.4,9650
1359,1359,15838,vauxhall, Zafira Tourer,2016,Manual,28956,Petrol,200.0,42.2,1.4,10999
1360,1360,15840,merc, CLA Class,2020,Automatic,1200,Petrol,145.0,44.1,1.3,29498
1361,1361,15843,toyota, Avensis,2016,Manual,32626,Diesel,20.0,67.3,1.6,10868
1362,1362,15846,vw, Beetle,2016,Manual,50139,Petrol,150.0,48.7,1.4,13790
1363,1363,15850,hyundi, Santa Fe,2010,Manual,72000,Diesel,260.0,41.5,2.2,6995
1364,1364,15852,toyota, Avensis,2015,Manual,57995,Diesel,20.0,67.3,1.6,8776
1365,1365,15853,ford, KA,2014,Manual,14512,Petrol,30.0,57.7,1.2,4890
1366,1366,15856,ford, KA,2017,Manual,9770,Petrol,145.0,57.7,1.2,8600
1367,1367,15858,ford, Grand C-MAX,2013,Manual,59122,Diesel,125.0,57.7,1.6,6699
1368,1368,15860,hyundi, I800,2018,Automatic,36359,Diesel,145.0,28.0,2.5,15899
1369,1369,15863,vw, Arteon,2019,Automatic,4824,Diesel,145.0,37.7,2.0,32450
1370,1370,15869,toyota, Hilux,2018,Automatic,5006,Diesel,265.0,36.2,2.4,22498
1371,1371,15870,hyundi, I40,2016,Semi-Auto,25881,Diesel,125.0,56.5,1.7,11151
1372,1372,15873,ford, Tourneo Custom,2019,Manual,5100,Diesel,145.0,31.7,2.0,20990
1373,1373,15875,merc, CLS Class,2019,Automatic,7289,Diesel,145.0,48.7,2.9,35850
1374,1374,15877,ford, Grand C-MAX,2014,Manual,36441,Diesel,125.0,60.1,1.6,7650
1375,1375,15889,ford, Galaxy,2018,Manual,50638,Diesel,150.0,56.5,2.0,14285
1376,1376,15890,toyota, Avensis,2014,Manual,37618,Diesel,30.0,62.8,2.0,7498
1377,1377,15891,merc, V Class,2019,Automatic,3974,Diesel,145.0,45.6,2.2,38200
1378,1378,15892,skoda, Yeti,2016,Semi-Auto,21720,Petrol,125.0,51.4,1.2,11987
1379,1379,15893,bmw, X6,2018,Automatic,40000,Diesel,145.0,40.9,3.0,34990
1380,1380,15901,skoda, Kamiq,2019,Manual,1500,Petrol,145.0,47.1,1.0,18944
1381,1381,15907,ford, Galaxy,2017,Manual,33695,Diesel,125.0,56.5,2.0,18799
1382,1382,15910,vw, Tiguan Allspace,2020,Manual,407,Diesel,145.0,46.3,2.0,25950
1383,1383,15912,vw, Scirocco,2017,Semi-Auto,34690,Petrol,145.0,44.1,2.0,13963
1384,1384,15915,bmw, X6,2017,Semi-Auto,19311,Diesel,150.0,47.1,3.0,32990
1385,1385,15921,merc, CLS Class,2017,Automatic,37150,Diesel,145.0,57.7,2.1,20790
1386,1386,15922,toyota, Prius,2016,Automatic,36520,Hybrid,0.0,85.6,1.8,17995
1387,1387,15925,ford, Edge,2018,Automatic,11170,Diesel,145.0,47.9,2.0,25995
1388,1388,15928,vw, Scirocco,2016,Manual,27000,Diesel,20.0,55.4,2.0,15000
1389,1389,15929,merc, CLS Class,2016,Automatic,32232,Diesel,160.0,51.4,3.0,22480
1390,1390,15933,hyundi, I40,2014,Manual,51515,Diesel,30.0,62.8,1.7,7498
1391,1391,15934,vw, Scirocco,2015,Manual,43135,Diesel,20.0,55.4,2.0,12995
1392,1392,15935,audi, S3,2017,Manual,21000,Petrol,145.0,39.8,2.0,25450
1393,1393,15936,vw, Arteon,2019,Automatic,50,Petrol,145.0,40.4,1.5,24780
1394,1394,15941,vauxhall, GTC,2015,Manual,20123,Petrol,160.0,44.8,1.6,8998
1395,1395,15943,ford, Puma,2019,Manual,150,Petrol,150.0,50.4,1.0,21000
1396,1396,15946,bmw, X4,2016,Manual,23553,Diesel,160.0,52.3,2.0,19999
1397,1397,15950,ford, Galaxy,2016,Semi-Auto,27902,Diesel,145.0,52.3,2.0,17920
1398,1398,15959,ford, Galaxy,2016,Automatic,25000,Petrol,260.0,35.8,2.0,23000
1399,1399,15963,toyota, Hilux,2017,Manual,32000,Diesel,260.0,40.4,2.4,18250
1400,1400,15964,hyundi, IX35,2011,Manual,32148,Diesel,205.0,48.7,2.0,7990
1401,1401,15969,ford, Grand C-MAX,2017,Manual,8619,Diesel,30.0,64.2,1.5,14495
1402,1402,15972,bmw, 6 Series,2019,Semi-Auto,27713,Diesel,145.0,47.9,3.0,31412
1403,1403,15973,audi, Q8,2018,Automatic,11000,Diesel,150.0,33.6,3.0,50000
1404,1404,15978,ford, Grand Tourneo Connect,2019,Manual,4284,Diesel,145.0,61.4,1.5,19000
1405,1405,15981,audi, A8,2018,Semi-Auto,2146,Diesel,150.0,50.4,3.0,36950
1406,1406,15985,merc, V Class,2019,Automatic,101,Diesel,145.0,36.7,2.0,46895
1407,1407,15986,hyundi, Santa Fe,2019,Semi-Auto,1001,Diesel,145.0,39.8,2.2,32998
1408,1408,15987,vw, Caravelle,2019,Semi-Auto,14997,Diesel,145.0,33.6,2.0,39995
1409,1409,15988,toyota, Hilux,2018,Manual,17940,Diesel,265.0,40.4,2.4,19398
1410,1410,15989,hyundi, Santa Fe,2016,Semi-Auto,19201,Diesel,240.0,42.8,2.2,20681
1411,1411,15990,audi, A8,2017,Semi-Auto,6479,Diesel,145.0,50.4,3.0,38995
1412,1412,15991,bmw, M4,2019,Semi-Auto,101,Petrol,145.0,34.0,3.0,41980
1413,1413,15992,toyota, Hilux,2016,Automatic,93112,Diesel,260.0,36.2,2.4,20149
1414,1414,15994,skoda, Scala,2019,Manual,1000,Diesel,145.0,57.7,1.6,18995
1415,1415,15996,vw, Tiguan Allspace,2019,Automatic,5295,Diesel,145.0,38.7,2.0,30990
1416,1416,16011,hyundi, Santa Fe,2015,Manual,61798,Diesel,205.0,46.3,2.2,12999
1417,1417,16016,merc, M Class,2014,Automatic,27000,Diesel,205.0,44.8,2.1,20495
1418,1418,16018,audi, Q8,2019,Semi-Auto,7793,Diesel,145.0,32.8,3.0,66990
1419,1419,16021,merc, V Class,2019,Automatic,18,Diesel,145.0,36.2,2.0,45800
1420,1420,16023,toyota, Prius,2019,Automatic,2100,Hybrid,135.0,62.8,1.8,24990
1421,1421,16027,toyota, Prius,2017,Automatic,17753,Other,140.0,68.9,1.8,21490
1422,1422,16029,ford, Galaxy,2016,Manual,36136,Diesel,125.0,56.5,2.0,14999
1423,1423,16030,bmw, 6 Series,2016,Semi-Auto,21654,Diesel,200.0,49.6,3.0,22990
1424,1424,16034,vw, Arteon,2019,Semi-Auto,10583,Petrol,145.0,40.4,1.5,23676
1425,1425,16037,ford, Grand C-MAX,2017,Manual,21689,Diesel,145.0,61.4,2.0,12491
1426,1426,16042,bmw, M5,2019,Automatic,4359,Petrol,150.0,24.1,4.4,68850
1427,1427,16043,audi, A8,2018,Semi-Auto,11276,Diesel,145.0,48.7,3.0,41995
1428,1428,16044,merc, GL Class,2016,Automatic,19132,Diesel,330.0,36.2,3.0,34581
1429,1429,16046,merc, CLS Class,2016,Semi-Auto,33026,Diesel,165.0,51.4,3.0,20498
1430,1430,16052,bmw, X4,2019,Semi-Auto,3414,Diesel,145.0,37.2,3.0,42412
1431,1431,16057,ford, Galaxy,2018,Manual,37085,Diesel,145.0,56.5,2.0,18000
1432,1432,16062,merc, GL Class,2016,Automatic,34586,Diesel,125.0,56.6,2.1,16999
1433,1433,16063,bmw, i8,2019,Automatic,6000,Hybrid,140.0,141.2,1.5,67500
1434,1434,16064,vw, Caravelle,2018,Automatic,13107,Diesel,145.0,47.1,2.0,34999
1435,1435,16066,vw, Scirocco,2011,Manual,51206,Petrol,235.0,37.2,2.0,8699
1436,1436,16067,ford, Tourneo Connect,2016,Manual,16740,Diesel,30.0,64.2,1.5,13990
1437,1437,16070,hyundi, Santa Fe,2019,Semi-Auto,8000,Diesel,145.0,39.2,2.2,35456
1438,1438,16072,audi, RS6,2017,Automatic,15500,Petrol,325.0,29.4,4.0,54995
1439,1439,16073,vauxhall, Agila,2008,Manual,44000,Petrol,150.0,51.4,1.2,2000
1440,1440,16077,skoda, Scala,2019,Manual,4530,Petrol,145.0,49.6,1.0,14990
1441,1441,16080,vw, Shuttle,2019,Automatic,15132,Diesel,145.0,32.8,2.0,27950
1442,1442,16084,merc, CLS Class,2016,Automatic,27167,Diesel,125.0,57.7,2.1,19770
1443,1443,16086,hyundi, I40,2016,Semi-Auto,45518,Diesel,125.0,56.5,1.7,10995
1444,1444,16087,bmw, Z4,2020,Automatic,1784,Petrol,150.0,33.2,3.0,39990
1445,1445,16093,ford, Tourneo Connect,2017,Automatic,15852,Diesel,145.0,56.6,1.5,13950
1446,1446,16097,merc, GLS Class,2017,Automatic,7736,Diesel,150.0,37.2,3.0,38250
1447,1447,16099,merc, M Class,2013,Semi-Auto,62791,Diesel,300.0,39.2,3.0,15880
1448,1448,16101,vw, Jetta,2012,Automatic,72000,Diesel,30.0,65.7,1.6,5995
1449,1449,16103,vw, CC,2013,Manual,66559,Diesel,30.0,60.1,2.0,8380
1450,1450,16112,vw, Caravelle,2019,Semi-Auto,9893,Diesel,145.0,32.8,2.0,43194
1451,1451,16113,ford, Puma,2020,Manual,3198,Petrol,145.0,50.4,1.0,21500
1452,1452,16116,merc, M Class,2015,Semi-Auto,49283,Diesel,200.0,45.6,2.1,18490
1453,1453,16120,bmw, M3,2016,Semi-Auto,33000,Petrol,300.0,34.0,3.0,33750
1454,1454,16122,audi, A7,2017,Automatic,27647,Diesel,150.0,52.3,3.0,26490
1455,1455,16126,merc, M Class,2014,Automatic,73181,Diesel,300.0,39.2,3.0,17050
1456,1456,16127,toyota, Hilux,2018,Automatic,21622,Diesel,260.0,36.2,2.4,28850
1457,1457,16129,vauxhall, Combo Life,2019,Manual,1383,Diesel,145.0,50.4,1.5,16000
1458,1458,16130,skoda, Kamiq,2019,Semi-Auto,5690,Petrol,150.0,43.5,1.5,19490
1459,1459,16136,skoda, Rapid,2017,Manual,22149,Petrol,145.0,61.4,1.0,9295
1460,1460,16145,merc, M Class,2015,Semi-Auto,30198,Diesel,300.0,39.2,3.0,23249
1461,1461,16147,vauxhall, GTC,2018,Manual,4694,Petrol,145.0,47.1,1.4,9490
1462,1462,16152,ford, KA,2017,Manual,24239,Petrol,30.0,57.7,1.2,7425
1463,1463,16157,hyundi, I40,2019,Semi-Auto,9000,Diesel,145.0,54.3,1.6,21490
1464,1464,16158,ford, Tourneo Custom,2016,Manual,31250,Diesel,240.0,44.1,2.0,22495
1465,1465,16160,toyota, Land Cruiser,2019,Semi-Auto,8813,Diesel,145.0,30.1,2.8,47795
1466,1466,16161,vw, Caravelle,2019,Semi-Auto,8,Diesel,145.0,32.8,2.0,37944
1467,1467,16165,vw, Scirocco,2014,Semi-Auto,51756,Diesel,30.0,57.6,2.0,11298
1468,1468,16166,vauxhall, Antara,2013,Manual,67400,Diesel,235.0,44.1,2.2,5299
1469,1469,16167,audi, RS5,2019,Automatic,10000,Petrol,150.0,29.7,2.9,54500
1470,1470,16172,ford, KA,2019,Manual,5000,Petrol,145.0,47.9,1.2,10000
1471,1471,16174,vw, Scirocco,2016,Semi-Auto,16395,Diesel,30.0,57.6,2.0,15798
1472,1472,16176,toyota, Avensis,2017,Manual,35939,Diesel,145.0,67.3,1.6,10595
1473,1473,16181,bmw, 8 Series,2019,Semi-Auto,1600,Petrol,145.0,33.2,3.0,59790
1474,1474,16188,toyota, IQ,2009,Automatic,27292,Petrol,20.0,60.1,1.0,3995
1475,1475,16196,vw, Arteon,2018,Semi-Auto,21601,Diesel,145.0,50.4,2.0,21811
1476,1476,16197,vauxhall, Vivaro,2018,Manual,22036,Diesel,150.0,40.9,1.6,18500
1477,1477,16198,audi, A7,2018,Automatic,17087,Diesel,150.0,38.2,3.0,33950
1478,1478,16199,vauxhall, GTC,2017,Manual,13533,Petrol,145.0,47.1,1.4,11498
1479,1479,16203,audi, A7,2019,Semi-Auto,259,Diesel,145.0,38.2,3.0,42990
1480,1480,16206,skoda, Rapid,2013,Manual,51997,Petrol,30.0,56.5,1.2,5990
1481,1481,16207,ford, KA,2014,Manual,31599,Petrol,30.0,57.7,1.2,4499
1482,1482,16214,bmw, X6,2020,Semi-Auto,2950,Diesel,150.0,34.9,3.0,49975
1483,1483,16215,hyundi, I40,2016,Manual,38572,Diesel,20.0,67.3,1.7,8850
1484,1484,16216,audi, A8,2019,Semi-Auto,8613,Petrol,145.0,37.7,3.0,41000
1485,1485,16217,skoda, Yeti,2014,Manual,22967,Petrol,160.0,46.3,1.2,10299
1486,1486,16225,vw, Shuttle,2019,Semi-Auto,10000,Diesel,150.0,32.8,2.0,31950
1487,1487,16226,vw, Arteon,2019,Semi-Auto,7891,Diesel,145.0,50.4,2.0,23240
1488,1488,16227,toyota, Verso,2017,Manual,15558,Petrol,145.0,41.5,1.6,12998
1489,1489,16229,ford, Puma,2002,Manual,69000,Petrol,220.0,38.7,1.6,2695
1490,1490,16230,bmw, M5,2019,Automatic,123,Petrol,145.0,26.9,4.4,68930
1491,1491,16232,vw, Beetle,2014,Automatic,26228,Petrol,145.0,47.9,1.2,9280
1492,1492,16233,merc, CLS Class,2019,Automatic,4263,Diesel,145.0,48.7,2.9,44995
1493,1493,16235,merc, CLS Class,2016,Semi-Auto,33063,Diesel,165.0,51.4,3.0,21691
1494,1494,16237,vw, Scirocco,2014,Manual,70000,Diesel,20.0,55.4,2.0,9975
1495,1495,16242,ford, Grand C-MAX,2018,Manual,4354,Petrol,145.0,54.3,1.0,13950
1496,1496,16246,hyundi, IX35,2013,Manual,65900,Diesel,150.0,48.7,1.7,7990
1497,1497,16252,bmw, M4,2017,Semi-Auto,60584,Petrol,150.0,34.0,3.0,29991
1498,1498,16253,hyundi, Santa Fe,2019,Semi-Auto,3122,Diesel,145.0,39.8,2.2,33998
1499,1499,16255,bmw, 7 Series,2019,Semi-Auto,7315,Diesel,145.0,42.2,3.0,48995
1500,1500,16259,vw, Caravelle,2019,Semi-Auto,17600,Diesel,145.0,33.6,2.0,55990
1501,1501,16260,ford, Edge,2019,Semi-Auto,1537,Diesel,150.0,37.2,2.0,33591
1502,1502,16263,vw, Caravelle,2019,Automatic,5691,Diesel,145.0,33.6,2.0,51994
1503,1503,16264,hyundi, Santa Fe,2019,Semi-Auto,5299,Diesel,145.0,39.8,2.2,29690
1504,1504,16272,skoda, Yeti,2017,Semi-Auto,22200,Petrol,125.0,51.4,1.2,13999
1505,1505,16279,toyota, IQ,2013,Manual,41142,Petrol,0.0,64.2,1.0,4849
1506,1506,16280,merc, GLS Class,2019,Semi-Auto,10514,Diesel,145.0,37.2,3.0,47980
1507,1507,16288,toyota, Prius,2016,Automatic,18096,Hybrid,0.0,94.1,1.8,19500
1508,1508,16289,toyota, Prius,2019,Automatic,7620,Hybrid,135.0,64.2,1.8,22300
1509,1509,16290,vauxhall, Vivaro,2017,Manual,33918,Diesel,160.0,50.4,1.6,14999
1510,1510,16292,audi, RS6,2015,Automatic,28123,Petrol,555.0,28.8,4.0,43990
1511,1511,16295,merc, CLS Class,2017,Semi-Auto,12190,Diesel,150.0,57.7,2.1,21890
1512,1512,16297,skoda, Yeti,2016,Manual,13757,Petrol,125.0,51.4,1.2,11355
1513,1513,16298,ford, Galaxy,2016,Automatic,12181,Diesel,145.0,52.3,2.0,17995
1514,1514,16301,bmw, X4,2016,Automatic,31084,Diesel,145.0,54.3,2.0,21400
1515,1515,16302,vw, Scirocco,2016,Manual,38287,Petrol,125.0,52.3,1.4,13500
1516,1516,16307,vw, Caravelle,2019,Automatic,1000,Diesel,145.0,33.6,2.0,50999
1517,1517,16310,hyundi, Santa Fe,2018,Semi-Auto,13018,Diesel,145.0,42.8,2.2,22270
1518,1518,16311,merc, V Class,2019,Automatic,18349,Diesel,145.0,48.7,2.1,24750
1519,1519,16313,skoda, Kamiq,2019,Manual,1987,Petrol,145.0,47.1,1.0,18285
1520,1520,16314,bmw, X4,2016,Automatic,44572,Diesel,200.0,47.9,3.0,23995
1521,1521,16318,toyota, Camry,2019,Automatic,4600,Hybrid,135.0,52.3,2.5,29990
1522,1522,16319,vw, CC,2014,Semi-Auto,57954,Diesel,145.0,53.3,2.0,9580
1523,1523,16320,ford, Grand C-MAX,2017,Manual,37306,Petrol,30.0,54.3,1.0,11179
